Time of the generation of the data point., Instantaneous throughput (b/s)., ID of connection (position relative to creation)., Direction of throughput., 
11-16-2022-18-52-44.852,572842.6969199217, 8, Download, 
11-16-2022-18-52-44.852,1.9475213195201363e+06, 9, Download, 
11-16-2022-18-52-44.852,957465.6505661547, 10, Download, 
11-16-2022-18-52-44.852,1.2143402074656757e+07, 11, Download, 
11-16-2022-18-52-44.852,1.0965845912467071e+06, 12, Download, 
11-16-2022-18-52-44.852,1.423779425193351e+06, 13, Download, 
11-16-2022-18-52-44.852,1.1784192622352673e+06, 14, Download, 
11-16-2022-18-52-44.852,2.831335766196587e+06, 15, Download, 
11-16-2022-18-52-44.852,1.1946423464253824e+06, 16, Download, 
11-16-2022-18-52-44.852,3.9442872916410062e+06, 17, Download, 
11-16-2022-18-52-44.852,3.796912958857799e+06, 18, Download, 
11-16-2022-18-52-45.853,1.8370199216883965e+07, 0, Download, 
11-16-2022-18-52-45.853,2.76675414593781e+06, 1, Download, 
11-16-2022-18-52-45.853,965699.1978957005, 2, Download, 
11-16-2022-18-52-45.853,834924.0169575203, 3, Download, 
11-16-2022-18-52-45.853,916937.3327283738, 4, Download, 
11-16-2022-18-52-45.853,605833.5948383899, 5, Download, 
11-16-2022-18-52-45.853,392973.1425978745, 6, Download, 
11-16-2022-18-52-45.853,409347.02353945264, 7, Download, 
11-16-2022-18-52-45.853,474842.54730576504, 8, Download, 
11-16-2022-18-52-45.853,1.8337307543937846e+06, 9, Download, 
11-16-2022-18-52-45.853,793845.4035406118, 10, Download, 
11-16-2022-18-52-45.853,0, 11, Download, 
11-16-2022-18-52-45.853,834924.0169575203, 12, Download, 
11-16-2022-18-52-45.853,1.1460277548475042e+06, 13, Download, 
11-16-2022-18-52-45.853,1.277018802380129e+06, 14, Download, 
11-16-2022-18-52-45.853,2.29212746522649e+06, 15, Download, 
11-16-2022-18-52-45.853,1.0806041866126733e+06, 16, Download, 
11-16-2022-18-52-45.853,1.6749544781325141e+07, 17, Download, 
11-16-2022-18-52-45.853,1.755186494746247e+07, 18, Download, 
11-16-2022-18-52-45.853,982432.8564946863, 19, Download, 
11-16-2022-18-52-45.853,425720.9044810307, 0, Upload, 
11-16-2022-18-52-45.853,704076.8804878586, 1, Upload, 
11-16-2022-18-52-45.853,147364.92847420296, 2, Upload, 
11-16-2022-18-52-45.853,835067.9280204833, 3, Upload, 
11-16-2022-18-52-45.853,785946.285195749, 4, Upload, 
11-16-2022-18-52-45.853,229234.33318209345, 5, Upload, 
11-16-2022-18-52-45.853,573085.8329552336, 6, Upload, 
11-16-2022-18-52-45.853,360225.3807147183, 7, Upload, 
11-16-2022-18-52-45.853,622207.475779968, 8, Upload, 
11-16-2022-18-52-45.853,491216.42824734317, 9, Upload, 
11-16-2022-18-52-45.853,933311.213669952, 10, Upload, 
11-16-2022-18-52-45.853,261982.09506524968, 11, Upload, 
11-16-2022-18-52-45.853,491216.42824734317, 12, Upload, 
11-16-2022-18-52-45.853,212860.45224051535, 13, Upload, 
11-16-2022-18-52-45.853,654955.2376631242, 14, Upload, 
11-16-2022-18-52-45.853,835067.9280204833, 15, Upload, 
11-16-2022-18-52-45.853,638581.356721546, 16, Upload, 
11-16-2022-18-52-45.853,65495.52376631242, 17, Upload, 
