Time of the generation of the data point., Instantaneous throughput (B/s)., Position of connection (ID)., Direction of Throughput., 
11-28-2022-14-52-32.753,1.7036752327842074e+06, 16, Download, 
11-28-2022-14-52-32.753,475083.36076362734, 17, Download, 
11-28-2022-14-52-32.753,1.326884981144089e+06, 18, Download, 
11-28-2022-14-52-32.753,2.1787585935478345e+06, 19, Download, 
11-28-2022-14-52-32.753,2.0312469378392873e+06, 20, Download, 
11-28-2022-14-52-32.753,1.3597213428752094e+06, 21, Download, 
11-28-2022-14-52-32.753,1.212137695143378e+06, 22, Download, 
11-28-2022-14-52-32.753,1.2941926034595366e+06, 23, Download, 
11-28-2022-14-52-32.753,2.0149367450086528e+06, 24, Download, 
11-28-2022-14-52-32.753,1.3103588122436034e+06, 25, Download, 
11-28-2022-14-52-32.753,1.2613562417284164e+06, 26, Download, 
11-28-2022-14-52-32.753,2.0310309617694358e+06, 27, Download, 
11-28-2022-14-52-32.753,1.5234711993911073e+06, 28, Download, 
11-28-2022-14-52-32.753,1.8020403339310002e+06, 29, Download, 
11-28-2022-14-52-32.753,3.4889734217448705e+06, 30, Download, 
11-28-2022-14-52-32.753,1.752749795322678e+06, 31, Download, 
11-28-2022-14-52-32.753,1.7037472248074913e+06, 32, Download, 
11-28-2022-14-52-32.753,671669.5790106456, 33, Download, 
11-28-2022-14-52-32.753,1.9657901904468983e+06, 34, Download, 
11-28-2022-14-52-32.753,2.3590346189642185e+06, 35, Download, 
11-28-2022-14-52-32.753,2.1952127704250365e+06, 36, Download, 
11-28-2022-14-52-32.753,2.0313909218858548e+06, 37, Download, 
11-28-2022-14-52-32.753,1.785658149077082e+06, 38, Download, 
11-28-2022-14-52-32.753,1.3105747883134547e+06, 39, Download, 
11-28-2022-14-52-33.753,409474.9463513843, 0, Upload, 
11-28-2022-14-52-33.753,0, 1, Upload, 
11-28-2022-14-52-33.753,638780.9163081595, 2, Upload, 
11-28-2022-14-52-33.753,474990.93776760576, 3, Upload, 
11-28-2022-14-52-33.753,802570.8948487132, 4, Upload, 
11-28-2022-14-52-33.753,49136.99356216611, 5, Upload, 
11-28-2022-14-52-33.753,524127.9313297719, 6, Upload, 
11-28-2022-14-52-33.753,49136.99356216611, 7, Upload, 
11-28-2022-14-52-33.753,474990.93776760576, 8, Upload, 
11-28-2022-14-52-33.753,65515.991416221485, 9, Upload, 
11-28-2022-14-52-33.753,491369.93562166113, 10, Upload, 
11-28-2022-14-52-33.753,147410.98068649834, 11, Upload, 
11-28-2022-14-52-33.753,262063.96566488594, 12, Upload, 
11-28-2022-14-52-33.753,0, 13, Upload, 
11-28-2022-14-52-33.753,1.0318768648054884e+06, 14, Upload, 
11-28-2022-14-52-33.753,294821.9613729967, 15, Upload, 
11-28-2022-14-52-33.753,147410.98068649834, 16, Upload, 
11-28-2022-14-52-33.753,851707.8884108793, 17, Upload, 
11-28-2022-14-52-33.753,343958.9549351628, 18, Upload, 
11-28-2022-14-52-33.753,753433.9012865471, 19, Upload, 
11-28-2022-14-52-33.753,720675.9055784363, 20, Upload, 
11-28-2022-14-52-33.753,393095.9484973289, 21, Upload, 
11-28-2022-14-52-33.753,49136.99356216611, 22, Upload, 
11-28-2022-14-52-33.753,245684.96781083057, 23, Upload, 
11-28-2022-14-52-33.753,376716.95064327354, 24, Upload, 
11-28-2022-14-52-33.753,868086.8862649347, 25, Upload, 
11-28-2022-14-52-33.753,0, 26, Upload, 
11-28-2022-14-52-33.753,0, 27, Upload, 
11-28-2022-14-52-33.753,0, 28, Upload, 
11-28-2022-14-52-33.753,147410.98068649834, 29, Upload, 
11-28-2022-14-52-33.753,49136.99356216611, 30, Upload, 
11-28-2022-14-52-33.753,98273.98712433223, 31, Upload, 
11-28-2022-14-52-33.753,343958.9549351628, 32, Upload, 
