Time of the generation of the data point., Instantaneous throughput (B/s)., Position of connection (ID)., Direction of Throughput., 
11-28-2022-16-08-52.641,573556.1837838995, 3, Download, 
11-28-2022-16-08-52.641,245840.66032065122, 4, Download, 
11-28-2022-16-08-52.641,639041.6695717865, 5, Download, 
11-28-2022-16-08-52.641,442513.1885771722, 6, Download, 
11-28-2022-16-08-52.641,8.734889917381894e+06, 7, Download, 
11-28-2022-16-08-52.641,1.8683890184369492e+06, 8, Download, 
11-28-2022-16-08-52.641,278619.4150300714, 9, Download, 
11-28-2022-16-08-52.641,1.9503359052104997e+06, 10, Download, 
11-28-2022-16-08-52.641,360566.3018036218, 11, Download, 
11-28-2022-16-08-52.641,1.3929530278884503e+06, 12, Download, 
11-28-2022-16-08-52.641,1.3503910633078713e+07, 13, Download, 
11-28-2022-16-08-52.641,409734.433867752, 14, Download, 
11-28-2022-16-08-52.641,3.8183648054926824e+06, 15, Download, 
11-28-2022-16-08-52.641,5.2933367437856365e+06, 16, Download, 
11-28-2022-16-08-52.641,4.277555465948378e+06, 17, Download, 
11-28-2022-16-08-52.641,3.7693407206904585e+06, 18, Download, 
11-28-2022-16-08-52.641,0, 19, Download, 
11-28-2022-16-08-52.642,819039.4682642202, 0, Upload, 
11-28-2022-16-08-52.642,393138.94476682565, 1, Upload, 
11-28-2022-16-08-52.642,409519.7341321101, 2, Upload, 
11-28-2022-16-08-52.642,393138.94476682565, 3, Upload, 
11-28-2022-16-08-52.642,180188.68301812845, 4, Upload, 
11-28-2022-16-08-52.642,425900.52349739446, 5, Upload, 
11-28-2022-16-08-52.642,1.0811320981087706e+06, 6, Upload, 
11-28-2022-16-08-52.642,262092.62984455045, 7, Upload, 
11-28-2022-16-08-52.642,999228.1512823486, 8, Upload, 
11-28-2022-16-08-52.642,343996.57667097246, 9, Upload, 
11-28-2022-16-08-52.642,1.2285592023963302e+06, 10, Upload, 
11-28-2022-16-08-52.642,851801.0469947889, 11, Upload, 
11-28-2022-16-08-52.642,0, 12, Upload, 
11-28-2022-16-08-52.642,1.1466552555699083e+06, 13, Upload, 
11-28-2022-16-08-52.642,458662.1022279633, 14, Upload, 
