Time of the generation of the data point., Instantaneous throughput (B/s)., Position of connection (ID)., Direction of Throughput., 
11-26-2022-11-41-30.629,2.0146237071691516e+06, 7, Download, 
11-26-2022-11-41-30.629,7.435636633528155e+06, 8, Download, 
11-26-2022-11-41-30.629,4.0946939924592073e+06, 9, Download, 
11-26-2022-11-41-30.629,2.3095292033260744e+06, 10, Download, 
11-26-2022-11-41-30.629,1.3429145161557994e+06, 11, Download, 
11-26-2022-11-41-30.629,2.94804722982742e+06, 12, Download, 
11-26-2022-11-41-30.629,2.129065242832358e+06, 13, Download, 
11-26-2022-11-41-30.629,2.276482000491469e+06, 14, Download, 
11-26-2022-11-41-30.629,2.2437947018503672e+06, 15, Download, 
11-26-2022-11-41-30.629,3.292019664365346e+06, 16, Download, 
11-26-2022-11-41-30.629,687944.869075852, 17, Download, 
11-26-2022-11-41-30.629,4.40583516667863e+06, 18, Download, 
11-26-2022-11-41-30.629,1.1463588392769846e+06, 19, Download, 
11-26-2022-11-41-30.629,262070.69882553848, 0, Upload, 
11-26-2022-11-41-30.629,442244.30426809617, 1, Upload, 
11-26-2022-11-41-30.629,1.2448358194213076e+06, 2, Upload, 
11-26-2022-11-41-30.629,1.1301798886851347e+06, 3, Upload, 
11-26-2022-11-41-30.629,343967.79220851924, 4, Upload, 
11-26-2022-11-41-30.629,1.0810416326553463e+06, 5, Upload, 
11-26-2022-11-41-30.629,835350.3525064039, 6, Upload, 
11-26-2022-11-41-30.629,409485.46691490384, 7, Upload, 
11-26-2022-11-41-30.629,655176.7470638462, 8, Upload, 
11-26-2022-11-41-30.629,540520.8163276732, 9, Upload, 
11-26-2022-11-41-30.629,0, 10, Upload, 
11-26-2022-11-41-30.629,0, 11, Upload, 
11-26-2022-11-41-30.629,425864.88559150003, 12, Upload, 
11-26-2022-11-41-30.629,606038.4910340577, 13, Upload, 
11-26-2022-11-41-30.629,425864.88559150003, 14, Upload, 
11-26-2022-11-41-30.629,1.0319033766255578e+06, 15, Upload, 
11-26-2022-11-41-30.629,1.4413888435404615e+06, 16, Upload, 
11-26-2022-11-41-30.629,1.5232859369234424e+06, 17, Upload, 
11-26-2022-11-41-30.629,458623.7229446923, 18, Upload, 
11-26-2022-11-41-30.629,442244.30426809617, 19, Upload, 
11-26-2022-11-41-31.630,605934.5417413121, 0, Upload, 
11-26-2022-11-41-31.630,343908.7939612853, 1, Upload, 
11-26-2022-11-41-31.630,851583.6802850874, 2, Upload, 
11-26-2022-11-41-31.630,949843.3357025975, 3, Upload, 
11-26-2022-11-41-31.630,393038.62167004036, 4, Upload, 
