Time of the generation of the data point., Instantaneous throughput (B/s)., Position of connection (ID)., Direction of Throughput., 
11-26-2022-11-30-47.318,179820.69813821558, 8, Upload, 
11-26-2022-11-30-47.318,425030.7410539641, 9, Upload, 
11-26-2022-11-30-47.318,670240.7839697127, 10, Upload, 
11-26-2022-11-30-47.318,392336.06866519764, 11, Upload, 
11-26-2022-11-30-47.318,392336.06866519764, 12, Upload, 
11-26-2022-11-30-47.318,572156.7668034133, 13, Upload, 
11-26-2022-11-30-47.318,915450.8268854612, 14, Upload, 
11-26-2022-11-30-47.318,179820.69813821558, 15, Upload, 
11-26-2022-11-30-47.318,931798.1630798444, 16, Upload, 
11-26-2022-11-30-47.318,310599.38769328146, 17, Upload, 
11-26-2022-11-30-47.318,6.750946976121953e+06, 0, Download, 
11-26-2022-11-30-47.318,9.104891549233379e+06, 1, Download, 
11-26-2022-11-30-47.318,2.4353938985642996e+06, 2, Download, 
11-26-2022-11-30-47.318,2.2394413808709825e+06, 3, Download, 
11-26-2022-11-30-47.318,1.2259783756989823e+06, 4, Download, 
11-26-2022-11-30-47.318,1.3403378901799044e+06, 5, Download, 
11-26-2022-11-30-47.318,702791.7785989582, 6, Download, 
11-26-2022-11-30-47.318,4.34824774994642e+06, 7, Download, 
11-26-2022-11-30-47.318,3.677863288217186e+06, 8, Download, 
11-26-2022-11-30-47.318,2.811526308794635e+06, 9, Download, 
11-26-2022-11-30-47.318,899103.490691078, 10, Download, 
11-26-2022-11-30-47.318,4.527924770325114e+06, 11, Download, 
11-26-2022-11-30-47.318,1.2585293703282278e+06, 12, Download, 
11-26-2022-11-30-47.318,2.664400283045186e+06, 13, Download, 
11-26-2022-11-30-47.318,3.4981862678384916e+06, 14, Download, 
11-26-2022-11-30-47.318,4.527852931445354e+06, 15, Download, 
11-26-2022-11-30-47.318,539462.0944146467, 16, Download, 
11-26-2022-11-30-47.318,9.317406919760361e+06, 17, Download, 
11-26-2022-11-30-48.318,8.46666608689168e+06, 0, Download, 
11-26-2022-11-30-48.318,7.533140388215334e+06, 1, Download, 
11-26-2022-11-30-48.318,3.455466933283193e+06, 2, Download, 
